Finish time,Time,Type,Selected Approach,Estimated Demand,Estimated Error,
1565350661296, 35, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.0051207516560101175; 0.020509514318728578; 0.0030382898812065548]], 0.31801062641379263, 
1565350661303, 37, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009538777854080428; 0.025425033606802268; 0.006715608761226089]], 0.7608829875549235, 
1565350661311, 34, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013839566956296843; 0.01948000732095283; 0.009383605428426207]], 1.5227482205877567, 
1565350731364, 27, EVALUATION, tools.descartes.librede.approach.ServiceDemandLawApproach, [[0.0077108351016184845; 0.028907573188869898; 0.004583012076246534]], 0.4342592220333673, 
1565350731367, 15, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.01247426946731871; 0.04760522476404279; 0.007385968506719491]], 11.899733363042156, 
1565350731372, 36, ESTIMATION, -,[[0.0077108351016184845; 0.028907573188869898; 0.004583012076246534]], 0.4342592220333673, 
1565350731400, 40, EVALUATION, tools.descartes.librede.approach.ResponseTimeRegressionApproach, [[0.005205094010988425; 0.02039865353674966; 0.003054883747852263]], 0.3123968316788806, 
1565350731403, 28, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[0.0010902016617026645; 0.03191182504985509; 0.008818279940000173]], 0.7958279060172075, 
1565350731408, 27, EVALUATION, tools.descartes.librede.approach.WangKalmanFilterApproach, [[0.013661708975708686; 0.01961702501233524; 0.009061695054177232]], 1.4708969075483376, 
1565350731424, 40, EVALUATION, tools.descartes.librede.approach.KumarKalmanFilterApproach, [[0.009631480600224028; 0.025149180574570003; 0.0066817314060912065]], 0.7542255237065209, 
1565350801475, 28, ESTIMATION, -,[[0.007683345048548423; 0.02882936716389988; 0.004512075628134501]], 0.430039304451525, 
1565350801476, 21, EVALUATION, tools.descartes.librede.approach.ResponseTimeApproximationApproach, [[0.012549816722782232; 0.047848690379136916; 0.007336556826771226]], 17.420040343526423, 
1565350801500, 44, EVALUATION, tools.descartes.librede.approach.UtilizationRegressionApproach, [[8.850960964873484E-5; 0.03235497918539041; 0.00930947598699998]], 0.9834400331712583, 
