Timestamp;WC0;WC1
1370202769000;22.0;11.0
1370202770000;14.0;12.0
1370202771000;19.0;11.0
1370202772000;15.0;17.0
1370202773000;15.0;16.0
1370202774000;14.0;11.0
1370202775000;18.0;14.0
1370202776000;15.0;18.0
1370202777000;19.0;18.0
1370202778000;16.0;18.0
1370202779000;16.0;14.0
1370202780000;12.0;13.0
1370202781000;20.0;15.0
1370202782000;17.0;18.0
1370202783000;9.0;15.0
1370202784000;13.0;19.0
1370202785000;13.0;11.0
1370202786000;18.0;9.0
1370202787000;12.0;15.0
1370202788000;20.0;12.0
1370202789000;15.0;18.0
1370202790000;18.0;14.0
1370202791000;11.0;20.0
1370202792000;13.0;14.0
1370202793000;13.0;16.0
1370202794000;16.0;9.0
1370202795000;10.0;11.0
1370202796000;8.0;12.0
1370202797000;18.0;12.0
1370202798000;13.0;17.0
1370202799000;15.0;16.0
1370202800000;14.0;24.0
1370202801000;16.0;18.0
1370202802000;19.0;14.0
1370202803000;10.0;10.0
1370202804000;19.0;12.0
1370202805000;12.0;15.0
1370202806000;16.0;20.0
1370202807000;16.0;16.0
1370202808000;7.0;18.0
1370202809000;15.0;16.0
1370202810000;16.0;18.0
1370202811000;11.0;17.0
1370202812000;14.0;22.0
1370202813000;18.0;7.0
1370202814000;13.0;14.0
1370202815000;18.0;11.0
1370202816000;22.0;8.0
1370202817000;12.0;21.0
1370202818000;16.0;15.0
1370202819000;13.0;14.0
1370202820000;14.0;16.0
1370202821000;13.0;20.0
1370202822000;19.0;13.0
1370202823000;15.0;19.0
1370202824000;17.0;15.0
1370202825000;17.0;13.0
1370202826000;15.0;13.0
1370202827000;15.0;14.0
1370202828000;13.0;16.0
1370202829000;14.0;12.0
1370202830000;7.0;11.0
1370202831000;19.0;11.0
1370202832000;10.0;10.0
1370202833000;18.0;17.0
1370202834000;12.0;16.0
1370202835000;11.0;15.0
1370202836000;15.0;15.0
1370202837000;9.0;14.0
1370202838000;14.0;13.0
1370202839000;11.0;14.0
1370202840000;12.0;14.0
1370202841000;12.0;14.0
1370202842000;14.0;13.0
1370202843000;9.0;14.0
1370202844000;15.0;14.0
1370202845000;11.0;10.0
1370202846000;11.0;5.0
1370202847000;15.0;16.0
1370202848000;13.0;18.0
1370202849000;19.0;11.0
1370202850000;12.0;13.0
1370202851000;14.0;16.0
1370202852000;12.0;13.0
1370202853000;14.0;11.0
1370202854000;11.0;15.0
1370202855000;17.0;17.0
1370202856000;9.0;13.0
1370202857000;16.0;14.0
1370202858000;15.0;14.0
1370202859000;15.0;14.0
1370202860000;15.0;10.0
1370202861000;11.0;16.0
1370202862000;17.0;15.0
1370202863000;14.0;16.0
1370202864000;10.0;17.0
1370202865000;8.0;11.0
1370202866000;15.0;15.0
1370202867000;18.0;13.0
1370202868000;18.0;18.0
1370202869000;15.0;16.0
1370202870000;16.0;13.0
1370202871000;17.0;17.0
1370202872000;11.0;10.0
1370202873000;12.0;15.0
1370202874000;13.0;21.0
1370202875000;14.0;20.0
1370202876000;13.0;8.0
1370202877000;23.0;15.0
1370202878000;8.0;13.0
1370202879000;19.0;11.0
1370202880000;14.0;16.0
1370202881000;13.0;17.0
1370202882000;16.0;14.0
1370202883000;10.0;21.0
1370202884000;16.0;16.0
1370202885000;16.0;16.0
1370202886000;22.0;19.0
1370202887000;10.0;12.0
1370202888000;14.0;14.0
1370202889000;13.0;14.0
1370202890000;8.0;16.0
1370202891000;13.0;13.0
1370202892000;20.0;13.0
1370202893000;10.0;14.0
1370202894000;16.0;10.0
1370202895000;20.0;16.0
1370202896000;10.0;13.0
1370202897000;17.0;19.0
1370202898000;14.0;14.0
1370202899000;9.0;16.0
1370202900000;15.0;9.0
1370202901000;12.0;11.0
1370202902000;19.0;11.0
1370202903000;13.0;12.0
1370202904000;12.0;18.0
1370202905000;16.0;18.0
1370202906000;16.0;19.0
1370202907000;21.0;12.0
1370202908000;12.0;10.0
1370202909000;22.0;12.0
1370202910000;17.0;6.0
1370202911000;14.0;17.0
1370202912000;18.0;16.0
1370202913000;9.0;12.0
1370202914000;16.0;14.0
1370202915000;15.0;18.0
1370202916000;13.0;20.0
1370202917000;19.0;13.0
1370202918000;13.0;12.0
